observed_on,latitude,longitude
2008-05-24,40.3074989319,-123.908996582
2009-03-07,37.8941993713,-122.2379989624
2010-01-10,37.3099861145,-122.1819229126
2007-12-15,37.8422584534,-122.5559234619
2006-04-15,37.5739440918,-122.4665374756
2010-02-14,37.4668540955,-122.2852401733
2010-03-21,37.9239234924,-122.5966415405
2010-07-04,45.5503921509,-122.1407775879
2011-01-16,37.9211803381,-122.6712369919
2011-02-05,37.4056739807,-122.2402038574
2011-03-20,37.4070168703,-122.2398948669
2010-11-19,38.5727052,-122.6953133
2011-04-03,44.6602989,-123.2338472
2011-04-17,36.9940097549,-121.9895750284
2011-05-01,37.0000250283,-122.0011568069
2011-06-01,38.6124441911,-122.7827739716
2011-04-10,48.002468,-122.43399
2011-06-08,37.977552,-122.580188
2011-06-09,37.265741,-122.210841
2010-08-09,39.4469575,-120.6199895
2011-06-30,37.0388145447,-122.0611724854
2011-07-30,37.8417920746,-122.1933531761
2011-08-16,40.7058944702,-124.0271987915
2011-08-17,45.5728187561,-122.7150115967
2011-10-11,41.8058319897,-124.148607105
2011-10-11,41.8058079976,-124.1486097872
2011-11-13,37.0824616601,-122.0601654053
2011-11-18,37.6906465836,-122.4343442917
2011-11-18,37.3698730469,-121.9064102173
2007-05-07,49.087021146,-125.8205795288
2011-12-14,37.3631426,-122.2795667
2011-12-14,37.3631426,-122.2795667
2008-02-23,39.4091497892,-123.8093948364
2006-05-22,37.3625647,-122.2341905
2009-05-19,41.3160587007,-124.0708351135
2007-05-31,47.6450365702,-123.4355163574
2010-04-14,47.4944483286,-123.2143709674
2012-02-08,38.5840873718,-122.7000656128
2012-02-09,37.41034164,-122.24087046
2012-02-18,38.5716056824,-122.6898803711
2012-02-18,38.5715179443,-122.6898651123
2012-02-29,38.5738823424,-122.7111503967
2012-03-04,38.572557049,-122.6928952821
2012-03-17,37.145904541,-121.7763519287
2012-03-17,37.5589967648,-122.5136801379
2012-03-17,37.239075302,-121.819152832
2012-03-18,37.4738065093,-122.2790150537
2006-03-11,37.4703172,-122.3108868
2012-03-25,37.8312343593,-122.5255221179
2012-03-30,37.7932123022,-122.1707874823
2012-04-07,47.6577076737,-121.8892880617
2012-04-12,47.4226454683,-123.3335520772
2012-04-08,47.7103425814,-122.372002149
2012-04-15,38.4441719055,-122.6171112061
2012-04-18,47.7367573,-123.1651686
2012-04-21,38.4316136149,-122.626036467
2012-04-21,48.03645,-122.5098
2012-04-29,38.5407810897,-123.0085945129
2012-04-28,37.4319363,-122.3471926
2012-05-08,45.63827413,-122.84445977
2012-05-10,37.40806278,-122.23847618
2012-05-16,48.459812,-122.985833
2012-06-04,47.7106712,-122.3729324
2012-05-27,47.584545,-122.528343
2012-06-04,47.5413240688,-122.3447799683
2012-06-06,47.71136,-122.372002
2012-06-02,48.040333,-123.027167
2012-07-20,47.816545,-123.173808
2012-07-27,47.872461,-124.575225
2012-08-05,37.2742821115,-122.2881373572
2012-05-26,40.3148019,-123.9778105
2007-06-14,47.41926,-121.546297
2004-08-08,46.965552,-121.798338
2008-08-03,47.471908,-121.946053
2004-08-22,47.467354,-123.845958
2008-05-25,47.437181,-121.779735
2011-04-16,48.492847,-122.693638
2008-06-21,48.683098,-121.093132
2008-05-10,48.249154,-121.825139
2012-08-23,45.4076205,-122.5703692
2012-08-25,39.215117,-121.034314
2012-08-02,37.2754187893,-122.2974014282
2012-04-22,37.934099528,-122.6891991214
2012-09-16,38.457907147,-123.1066131592
2012-09-24,37.911645,-122.26383201
2012-06-01,48.763536348,-122.3684187114
2012-10-15,38.4419595673,-122.9777812958
2012-10-25,37.0870873,-122.0638586
2010-05-11,56.7798179108,-132.9537963867
2011-08-19,47.8584540512,-123.9440074609
2008-08-11,48.6453837215,-122.4772385719
2012-11-15,38.57287475,-122.6928942333
2012-12-16,37.613807,-122.458938
2012-12-24,37.2046897,-122.3311769
2008-06-14,41.7968012,-124.081968
2011-05-13,37.8427664224,-122.1907567978
2013-01-26,37.876,-122.2551666667
2013-02-02,36.3188518,-121.8113425
2013-02-08,37.8961666667,-122.7078333333
2013-01-01,37.0200982014,-122.0478057861
2010-05-18,38.2929680604,-120.3532505035
2013-02-13,37.8726567294,-122.23895131
2013-02-16,37.87160346,-122.2394783
2010-08-05,48.5644319242,-122.937451601
2013-02-19,37.8680403519,-122.2394937868
2013-02-17,38.5524614135,-123.0091094971
2013-02-21,37.8718333333,-122.2378333333
2013-02-16,38.5438438232,-122.5273757503
2013-02-17,37.8807136015,-122.2309684753
2013-03-01,37.00247529,-121.99914342
2013-03-04,37.5451909363,-122.4477759996
2013-03-07,37.4988303,-122.498034
2013-03-10,37.9333,-120.457619
2013-03-11,37.8949468151,-122.6146204128
2013-03-14,37.870299521,-122.2491464313
2013-03-03,37.8696666667,-122.2355
2013-03-15,37.2751666667,-122.2906666667
2013-03-15,37.8709914988,-122.2425556183
2013-03-18,37.870007,-122.241123
2013-03-16,37.1380824212,-121.9814586639
2013-03-07,37.503671,-122.4747576
2013-03-18,38.07836563,-122.8244018555
2013-04-02,38.049050855,-122.7584409714
2013-03-29,37.1712613,-122.2222126
2013-03-29,37.1712613,-122.2222126
2012-03-11,37.2162423563,-122.0480310917
2013-04-04,38.574534,-122.684539
2013-04-06,37.076929,-122.185341
2013-04-05,36.9736505159,-122.0662962979
2011-04-28,37.239324,-122.0780632
2013-04-11,37.9211666667,-122.6268333333
2013-04-13,38.0337603459,-122.7303743362
2013-04-13,38.0318333333,-122.7316666667
2013-04-28,37.5189,-122.377932
2013-04-20,37.1743333333,-122.2191666667
2011-11-21,37.7259,-122.424328
2012-12-18,37.504799,-122.457905
2012-02-19,37.434969,-122.353363
2013-04-16,37.891679,-122.569175
2005-05-27,39.983697,-121.318073
2013-05-27,37.493982,-122.49442
2013-06-07,38.573557,-122.684541
2013-06-21,47.733,-122.2606666667
2013-06-24,47.967441,-123.581513
2013-06-19,47.026142,-124.165936
2011-03-26,37.899517,-122.576909
2013-07-07,42.56972,-123.59611
2013-07-17,38.5745,-122.6848333333
2013-07-20,47.031572,-124.1581
2013-07-17,38.5742,-122.68466
2013-08-01,47.902651,-124.197014
2013-08-08,45.434384,-122.674232
2013-08-10,48.034782,-123.411817
2013-04-06,37.75085,-122.147466
2013-08-09,46.297819,-124.06796
2013-08-15,43.989432,-123.097307
2013-08-18,38.621818,-122.847386
2013-08-19,37.4843333333,-122.4428333333
2013-08-25,37.6816666667,-122.4173333333
2013-08-25,37.681,-122.4173333333
2013-08-20,57.052947,-135.315911
2013-08-31,37.581843,-122.49095
2013-08-18,40.875509,-124.064205
2013-04-27,47.528605,-121.996881
2013-08-22,41.402485,-124.062542
2013-10-10,37.788991,-122.479189
2013-08-28,45.68251,-121.986212
2013-10-23,37.524954,-122.323447
2013-10-27,47.319165,-122.411148
2013-10-25,37.518847,-122.378098
2013-10-23,44.701138,-124.062118
2012-07-28,58.383247,-134.69088
2013-11-09,41.068277,-124.152289
2012-10-17,40.860139,-124.066446
2013-11-20,37.5261916667,-122.3216783333
2013-11-02,36.270421,-121.807976
2013-11-21,38.407919,-122.94737
2013-12-19,38.043769,-122.614965
2013-11-23,37.01668661,-122.04510399
2003-04-19,34.006093,-120.092278
2014-01-14,47.080695,-122.982247
2014-01-23,38.081156,-122.804732
2009-08-09,47.25809,-123.805868
2009-10-24,40.859687,-124.091377
2014-02-12,37.8703333333,-122.2323333333
2014-02-14,37.081555,-121.8006666667
2014-02-15,37.9371666667,-122.699
2014-02-16,37.024227,-121.906338
2014-02-17,37.873058,-122.238994
2014-02-23,38.0219133525,-122.6589776204
2011-06-24,45.57667,-122.116256
2014-02-27,37.869213,-122.238768
2014-03-02,38.5800533333,-122.6914216667
2014-02-12,37.8703333333,-122.2323333333
2014-03-04,37.845225,-122.2301466667
2014-03-04,37.869175,-122.2415083333
2014-03-04,37.871398,-122.239401
2014-03-05,38.517037,-122.859421
2014-03-07,38.3385,-122.5966666667
2014-03-08,37.0994611667,-122.2799383333
2014-03-13,37.8516383333,-122.18927
2014-03-09,39.6327333333,-121.2689583333
2014-03-14,37.872008,-122.238622
2006-07-30,48.548172,-123.009174
2014-03-12,38.519262,-122.622466
2014-03-19,37.0360916667,-122.0603416667
2014-03-06,37.57464536,-122.4647153636
2014-03-21,37.435462,-122.314613
2014-03-22,38.5908333333,-123.3221666667
2014-03-28,37.893621,-122.574466
2014-03-28,37.8996364862,-122.5760431919
2014-03-28,37.894131,-122.574957
2014-03-27,36.014239,-121.501325
2014-03-28,37.900424,-122.578127
2014-03-28,37.890538,-122.565123
2014-03-28,37.448232,-122.299029
2014-03-28,37.89322,-122.572554
2014-03-29,37.891103,-122.569508
2014-03-28,38.285864,-122.675114
2011-06-07,45.65721,-120.875976
2014-03-30,37.274374,-122.283519
2014-03-30,37.379502,-122.374949
2014-04-04,38.0962528333,-122.8520583333
2014-04-05,38.034698,-122.814388
2014-04-06,47.837568,-122.343481
2014-04-06,37.456464,-122.381773
2014-04-06,37.4565166667,-122.3873833333
2014-04-10,45.444108,-122.675895
2014-04-12,37.8970691173,-122.5811177865
